id,amount,date
0007baa91954971526e2c2afbf029a58,3864.0,2024-04-28
0007da0d99bdd6ae64c6860c2a7a52dd,5649.0,2024-04-25
000fb97df01782421d2666674f16f0c7,6119.0,2024-04-26
0016d807a4f2269a59f67ab8e9d9861e,1082.0,2024-04-25
00191029f816b6dacf06f011e9b0f52d,14434.0,2024-04-26
001c916e7073d4ca88088b3f6641344f,3912.0,2024-04-25
001fc579d7a3389681682a68cb73d630,4142.0,2024-04-28
002180ea83cabe60f908dfbb71a9bd94,683.0,2024-04-25
002370c49e581740049199c2b0598430,2587.0,2024-04-26
0025cbd136f6227c614d02a596509236,2815.0,2024-04-23
0027e6a4db74561a939bf56533f45260,2203.0,2024-04-26
00295c4bb0cbebac2ba137b418717669,4436.0,2024-04-26
0029c7250c091885f51b8d7b53c0ff82,4123.0,2024-04-25
002a2a59b791897b9a339e1be34f4864,7885.0,2024-04-27
0033210dbbef3b3a619c4ce738a6ad1f,2644.0,2024-04-29
0034769860e23e186b6bcae66d6bb6df,4006.0,2024-04-26
003dedc657b9a8d08bc10c0d2b3462ae,3614.0,2024-04-24
004005dc633c69d03cb3853beaf1e443,9428.0,2024-04-27
004699ca52ce3581608fab069627d6a5,4647.0,2024-04-29
004afdd82203af931546535446ff8805,3629.0,2024-04-25
004c39be188f454bd12f8a2579f4088b,6981.0,2024-04-26
004c90733c03e96faf0680253ccff0a3,10223.0,2024-04-26
004d53401e83a1aefa82babc31e1fdda,6859.0,2024-04-26
0050bce20d7115b83b03855df88fceed,7504.0,2024-04-27
005105e1f983c5bf8b664dea5e6007a7,4865.0,2024-04-27
00515de7163c1dcc4ae3b965800b0b9d,4773.0,2024-04-27
005b96e4b42d6e86ff077891821d1aa1,3818.0,2024-04-23
0060208d44db9c8217cbee38fd11d05c,11145.0,2024-04-24
0065d4c3ea14181ff52f043ed8e47bb8,3087.0,2024-04-23
0070d2f0ea53d769876c7a5be8bf7190,8324.0,2024-04-28
0072c8578322f7c00954a34053d8e409,14199.0,2024-04-29
0078aeffb552e0543117fd903dfb55d2,4987.0,2024-04-29
0079d428d7ff4aed2adeb4075c3e91ab,2203.0,2024-04-27
007e11b3493a9792e508784b378c73a4,9369.0,2024-04-27
007f83ee5378f879387f5849d85b7386,5447.0,2024-04-26
0080c7648eedb39246660dc0bd3b2790,2794.0,2024-04-28
0081014ca3f8ba8abd04bb561ea64835,3984.0,2024-04-29
0082d820df3e1c246f50cbf79e5645d6,4783.0,2024-04-27
0082e9d38e8b39e1713545d253b592b2,5197.0,2024-04-26
00834191b806d2f947694d0b140e2a73,6917.0,2024-04-28
00862070109f4b5ee79536111fa3e085,5670.0,2024-04-28
008871b7de5d40d1804d074bbf187f6c,8585.0,2024-04-25
008c901f5e320d739ce58a70fe864b20,1352.0,2024-04-23
008dd09bcac3829c0e9d438beec20a0d,5068.0,2024-04-29
0091cd88aa9cb121509626ac878cb74d,5421.0,2024-04-24
0093d204e2a4fedebcedf5eb512f8b28,5690.0,2024-04-29
0096245475bc4976d0e53d8a9f009a81,5415.0,2024-04-29
0096db9d5a2b59ce4774943a07cf5bf5,3603.0,2024-04-27
00a4b9854924767180b870ef4d80e0cf,8589.0,2024-04-29
00af92e53f3067d15ae6b207d79cfa21,7396.0,2024-04-26
00b001b2364dc3f4976b85ee56899a1e,1554.0,2024-04-28
00b263f71aec5f9e36228067ca9186bb,11717.0,2024-04-26
00b45e111fc438a786a7eb6b8c795662,5977.0,2024-04-25
00bc17d35358d3894cacb19f40022639,7662.0,2024-04-28
00c693f8965d62de13513c390b0a6f99,12656.0,2024-04-25
00cf8954941c1b315c8dee48fcfc60ac,5033.0,2024-04-25
00d00c48853ee2cc7ba2f3654b306a91,2257.0,2024-04-28
00d07bcec5a25ee6d3076730719e49b6,4447.0,2024-04-28
00d7aedeffda92346b99e54c15230ffa,9107.0,2024-04-27
00d9e9e34ae6bb53e1798ccadf3b753e,2585.0,2024-04-28
00dd9ed2cf5cfd45a950649b5f5ae25b,3784.0,2024-04-29
00debc570586d2d442f84169d3235a41,3135.0,2024-04-25
00e14557aaeca6bbd790b8a46b2607d3,8071.0,2024-04-26
00e2709722f523de79d47494a0edd7b0,5303.0,2024-04-26
00e5998086b15a4d6e90200975ac45bb,8146.0,2024-04-26
00e5e8fbffcd1530bf2a5d5c75565abe,1989.0,2024-04-27
00e80271f2abde44af79943e52df8d36,3207.0,2024-04-23
00eb12bd28bdbd9a8fd6bcca28906258,4771.0,2024-04-28
00f047b955358d365451248a31b2be0c,7570.0,2024-04-28
00f2560d10a3fa602afe5682f6a312fc,5920.0,2024-04-27
00f380daa50b91df9218fb212a7cc052,9768.0,2024-04-27
00f4a575b2e2ff381dbea65895d8aed3,7530.0,2024-04-28
00fa3631601345fe13385000a09d5acf,7036.0,2024-04-23
00fa8b0a4f4b67d3b25f338eb281c97e,3767.0,2024-04-29
00fab1948a62f2f0183a75408017c239,1507.0,2024-04-23
00fd33dee7e82390facef7a1a8171638,4577.0,2024-04-25
00fe1bdb3bc013f18212e5f57948e41b,1904.0,2024-04-28
00ffce28ca760a83957b11d1ab920a3a,3011.0,2024-04-26
010132d8d2034861738b6c6e7f884020,8875.0,2024-04-24
0104aab5a3f22f22ae7f852f1bbc314e,3904.0,2024-04-24
01088263236e9a921f24df5b7a42aace,7277.0,2024-04-27
010927ab293978c53dcf86f320cfe8ad,6475.0,2024-04-26
011796e878500c0e8126775f0e955363,4743.0,2024-04-27
0118f61bf9ef4e006d82fe9f5dd0b010,5743.0,2024-04-23
011c71ca3ec3c85d3131dc4ef041c770,4791.0,2024-04-27
01203464ddc227b89baf7f8a6c955c5e,3262.0,2024-04-23
0122870d51fb9e8593371897a05bb870,4819.0,2024-04-28
012c8e01fa7120233e659c01601df65c,2643.0,2024-04-27
012da919c94a9175d0e0cfda735d1d4f,5292.0,2024-04-26
012f04af2aa085de4d8e3e39bafbd509,2718.0,2024-04-24
0130bb502114668ff881740df08df529,8328.0,2024-04-23
013158b3464c66a0d51a55fb5954dd33,4411.0,2024-04-29
0134201da99f061f26a9cd0c69416cde,7593.0,2024-04-25
013787f412af261308f2bbaff709c685,5718.0,2024-04-28
0138f9f77b30d5cd05ff068029cb7ab3,1385.0,2024-04-25
0140f940b2953927be2215a881d21a26,9539.0,2024-04-24
0146dc1cf48889dcd04644bf12616720,7029.0,2024-04-26
01486a2cee153ce1d9b954a6cca496b4,5304.0,2024-04-25
015180c4179c2a73e5f2521263194471,8182.0,2024-04-29
0153ac2a10fcd7f84f555996e0eb5e12,4016.0,2024-04-29
0160e34bd7f5623b1387ecaf446f4d01,4768.0,2024-04-29
01618735b5dca79388895fd4a0476d48,1336.0,2024-04-25
016327106eecc4ab4bab76fba29e5eb2,7462.0,2024-04-28
016d1519bf635fe5e5315d1df7bac3b8,5341.0,2024-04-29
0178295945de8e34a4ad95770f702e08,5294.0,2024-04-28
01789d1812009524d9efc1ef43b412ae,978.0,2024-04-24
017a54d2d053eae9f6f058582c371009,7889.0,2024-04-26
017ac02b16da25dec5d0691b407cb2c9,6734.0,2024-04-27
017ec453f74c13fb190e28c2db5d09fa,4526.0,2024-04-23
0181c6299fd9ed1fa3b4496b30c8f837,6068.0,2024-04-25
0185cf369f7b5cb61c17b447982b4a00,9684.0,2024-04-26
018b013f605a27be96514dfb88082fae,6008.0,2024-04-26
018d341fa380b13e64ea160da3eba9dd,4259.0,2024-04-29
01902addb2e62f675ea8d7842ba4f6ca,6166.0,2024-04-29
01927acfb5ff4926046ed89b42f76497,4912.0,2024-04-26
0192ead201809858187f320394cea3b2,7245.0,2024-04-23
01930fca6d8814378eeeffbab35ee7bc,2890.0,2024-04-26
0195588fd4086f2ba95962ee79be20b7,4448.0,2024-04-27
019f036d91764a63e223afae2c365f85,6824.0,2024-04-24
01a3f3f77e8a6b10f8395ec22609145d,2655.0,2024-04-24
01a448059fdf3c0a5d4cd48a79913da8,5248.0,2024-04-28
01ad32ae0f9af7046256f8d003579099,3760.0,2024-04-26
01aee745bd7663881ae3a071256ed804,5679.0,2024-04-26
01af9d3d67f9b7773c7347259494e142,4554.0,2024-04-29
01c55cd2eb1d73e38e4ae55c060576f2,7409.0,2024-04-29
01c7ae5c9fc2c8826d68237384a02968,3429.0,2024-04-29
01c8790e459464fbf272b3a1bd7ecf0c,4402.0,2024-04-29
01cee75c1dc7fc3c4298a526e03e7fac,4226.0,2024-04-25
01d1bc5848e861e372598ac40085ca92,9470.0,2024-04-28
01d2f842b3b571cfa380552847489f14,5299.0,2024-04-27
01dc54d84a0bcbf74a181677962913c4,5983.0,2024-04-27
01e66310c3cb47ffd917fb69cde3ae93,4251.0,2024-04-24
01ea208fd764697d250d9feef9e646d9,6253.0,2024-04-24
01ea4fb085116aa66e6e51bced259dba,8883.0,2024-04-25
01eaea2098268d8d4d50285ac3592b9b,3533.0,2024-04-27
01f5e37df2fafe3ac4baa727073ff68f,7076.0,2024-04-26
02003e50e2bfcd4c30a41b216e12dfb7,4325.0,2024-04-29
02074bf11a75e72ef6153457cc7f12ce,9230.0,2024-04-23
02098d092b35e489f0d0bb47afa4ed5a,4204.0,2024-04-23
020e1fd356b882a867d8e7df9976d45f,5825.0,2024-04-27
0210125285e7aaa2236c249542f5e853,8605.0,2024-04-29
02194f92492c98696b00e386114bb861,8247.0,2024-04-27
021cdb7adb8dc720a03abf86cb142a91,4109.0,2024-04-24
